;Alternate Name;Artist;Author;Genre;Name;Plot;Status;Year of Release
21;Centimeter na Futari, Cm na Futari, My Life My Melody;SHIBANO Yuka;SHIBANO Yuka;['Comedy', 'Romance', 'School Life', 'Shoujo'];1/3 Romantica;"Hana started going out with Tokumoto-kun, who's popular with both the class and the girls. She's being played around with by the guy's pace. Hana falls in love more and more with his kindness and his sense of humor. But, then she finds out about his ex-girlfriend, who is a teacher…!

Also includes two other stories:

• Cm na Futari
This is a love story between childhood friends.
They’ve always been together so it’s hard to go from childhood friends to lovers, right? Michika thinks that people who try to trick her are bastards, but Yuki saved her. She thought he was so cool that she fell in love.

• My Life My Melody
Aoi met Kei, the street guitarist after running away from home one day. Aoi’s life is not at all perfect as her family kept ignoring and not realizing her existence. Can Kei help Aoi to go through with her life? ";Completed;2008
22;10 Dance;INOUE Satou;INOUE Satou;['Comedy', 'Drama', 'Romance', 'Shounenai', 'Slice of Life'];10 Dance;"From Nakama:

Sugiki, a standard ballroom dancer, offers to teach Suzuki, a Latin American dancer, ballroom in exchange for Suzuki to teach him in return. 

Their names are similar, but their personalities are totally opposite, just like their dance. When the two meet, something's bound to happen!";Ongoing;2012
23;1001 (Knights), 1001 Knights, Knights (SUGISAKI Yukiru);SUGISAKI Yukiru;SUGISAKI Yukiru;['Adventure', 'Fantasy', 'Mystery', 'Romance', 'Shoujo'];1001;"From Fallen Syndicate: 

A tale of mystery and magic. Naito and Yuki Fuka are twin brothers with very different personalities. While Naito is elegant and good in school, Yuki is athletic and often winds up in fights. Despite this, they maintain a close relationship. When their father turns up missing, both must travel to Dubai in search of him. A mysterious peddler has other plans though, as the twins soon find themselves in the world of One Thousand and One Nights.";Ongoing;2012
24;11 Eyes, 11eyes -Tsumi to Batsu to Aganai no Shoujo, 11eyes: Sin, Damnation, and the Atonement Girl;;LASS (Story), AYANO Naoto (Art);['Action', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Shounen'];11 Eyes;"Satsuki Kakeru lost his sister by suicide and has been living a dull life ever since then. One day, he is transported into a bizarre world Red Night along with his friend Minase Yuka and six other classmates. In order to survive and escape from Red Night, they must defeat six black knights in order to return home.

Adaptation of the 11eyes -Tsumi to Batsu to Aganai no Shoujo- adult PC game from developer Lass.";Ongoing;2009
25;12 Nin no Yasashii Koroshiya - Leo Murder Case, 12 Hito no Yasashii Koroshiya, 12 Nin no Yasashii Koroshiya, 12-Nin no Yasashii Koroshiya;;;['Action', 'Mystery', 'Shoujo'];12 Nin no Yasashii Koroshiya;Seducing the guests to make them pay the most, that is the job of a host. Takashi, currently the No. 1 host, is an apparent professional when it comes to being a host. One evening Takashi is bought off by a special guest and Takashi is obliged to follow her to the after part of the night. However, Takashi overhears a young girl screaming for help, and he declines his obligation to help the girl. Takashi asks why she is alone, and the girl replies saying that she seeks revenge on a guy who killed her older brother. As Takashi lets her sleep at his friend\\\'s home, he suddenly appears in a mysterious meeting among 12 people, the Persona XII, where their supposed next target is the man who the girl is seeking to kill. This is the moment where we witness Takashi s destiny becoming the hitman of this mission take flight!;Ongoing;2009
26;13Club;;Shihira, Tatsuya (Story & Art);['Action', 'Mystery', 'Seinen'];13 Club;If you could find out a little something about the future, what would you do? Get rich off of the stock market? Use the media to become famous as a prophet? Or…;Ongoing;2008
27;1305;Park Mong Mong;Park Mong Mong;['Drama'];1305;;Ongoing;
28;14 Sai no Koi;MIZUTANI Fuka;MIZUTANI Fuka;['Josei', 'Romance', 'School Life'];14-sai no Koi;A story about two unusually mature young people. They are both smart, very together and they are in love. But, as grown-up as they act, they are still just 14 and their feelings for each other are captured with tenderness and lack of nostalgia, but very cutely.;Ongoing;2010
29;;Seok Woo;Seok Woo;['Romance', 'School Life', 'Shounen', 'Slice of Life'];17 Years Old, That Summer Day's Miracle;"A main character who's lived for 17 years. The reflection in his gaze tells a special story of that summer day.
Original webcomic";Completed;2009
30;17 sai Degree Celsius, 17 sai °C, 17-sai°C , 17sai°C;MUGIMORI Nagi;MUGIMORI Nagi;['Drama', 'Romance', 'School Life', 'Seinen'];17-sai Degree Celsius;;Ongoing;2013
31;17 sai, Kiss to Dilemma, 17-sai, Kisu to Dilemma, 17sai, Kiss to Dilemma, 17sai, Kisu to Dilemma;YAGAMI Rina;YAGAMI Rina;['Romance', 'Shoujo'];17-sai, Kiss to Dilemma;"From Chibi Manga:
At 17 years old, I didn't know anything about life or love. And I didn't see my cousin as a ""man""...
I dont want to know anything, but love changed everything...";Ongoing;2013
32;18diary, 17s Seisho, 17 Seisho, Tadashii Hoshi no Miagekata;;Akira, Shouko  (Story & Art);['Drama', 'Romance', 'School Life', 'Shoujo', 'Sports'];18 Diary;18 years old, the final summer in a high school life. Uchiyama Ayako from the swimming club is secretly in love with her classmate Kitamura, and yet everybody knows that Kitamura is secretly in love with his childhood friend. As Kitamura wanted to learn how to swim, he had asked Ayako to teach him. What can Ayako do to express her feelings?!;Completed;2003
33;We Got Married at 18, We Got Married at 18 Years Old;HAN Yu-Rang;HAN Yu-Rang;['Comedy', 'Romance', 'School Life', 'Shoujo', 'Supernatural'];18 Years Old, We Got Married;"By AquamarineP:
The main girl wants nothing to do w/ love as she sees her whole life the ugly unraveling of her parents' marriage.
One day, she meets a tiny person (dwarf-size w/ human characteristics) in the rain. It turns out that he is the librarian of heaven going to Earth to find a book that records humans' love connections and his punishment of losing the book was turning tiny every time water hits him. He is a member of a famous and very popular idol group for it makes it easier to find the book.
It happens that her younger sister showed her that book a few days ago thinking that it was a ""fan service"" for it has all the members of the group mentioned and their life partners.
Her younger sister fixed the book which is intertwined with the book of life.
Now everything is changed and 3 girl lives (the main girl, her sister, and the female member of the group) are at stake!
A manhwa with supernatural, virtual games, and the celebrity world.";Completed;2008
34;;HATA Akimi;HATA Akimi;['Josei', 'Romance'];2 Dome no Koi wa Usotsuki;Sumi has hopelessly loved Natsuki since she was 18. Now she's 28 years old, works at a cosmetics company, and has managed to miss out on most of her prime dating years by pining after one boy. One day, an interesting new cafeteria opens at Sumi's company, a 'garçon' style restaurant staffed by pretty young men. One of those men is Natsuki's younger brother, Satsuki! Satsuki knows about her long-standing crush, and teases her mercilessly. However, when she is crushed by the news of Natsuki's impending marriage, Satsuki helps her save face. Could there be something between Sumi and Satsuki, or is he just messing with her?;Ongoing;2011
35;;Aoi Mitsu;Aoi Mitsu;['Comedy', 'Romance', 'School Life', 'Shoujo'];2.5 Jigen Kareshi;"Koino Tsumugi is a sixteen year old otaku who only has eyes for ""Tokki"" -- a 2D character in her favorite otome game! She has no interest in real boys... Then one day she's rescued by a guy who's the spitting image of Tokki...?!";Ongoing;2014
36;2001 Ya Monotogari;Yukinobu Hoshino;Yukinobu Hoshino;['Sci-Fi'];2001 Nights;A collection of short stories that look to mankind's exploration of space, and examine the possibilites that we could face when we decide to take those first fateful steps into the unknown.;Completed;1984
37;Nijuu Seiki Shounen, Nijuusseiki Shounen, 20thCB;Urasawa Naoki;Urasawa Naoki;['Action', 'Drama', 'Historical', 'Mystery', 'Sci-Fi', 'Seinen', 'Supernatural'];20th Century Boys;"Growing older is pretty rough and Kenji is finding out just how hard it can be as life starts wearing down on him. On top of trying to make ends meet running a convenience store, he has to care for the niece that his missing sister left in his care. Memories of youth make it easier, until those memories come back to haunt you. 

 Kenji and his old friends are slowly being drawn into a mysterious conspiracy that could threaten the world. Who is the mysterious &quot;friend&quot;, and how does he tie into Kenji's youth? Why are there disappearances and deaths tied into Ochanomizu University? The friend's memories hold the keys to the puzzle, but years between cloud the clues. 

 The strange occurances and the reach of the &quot;friend&quot; conspiracy grow by the day. It will all culminate on New Year's Eve 2000. Will Kenji and the rest of the group be able to put together the puzzle and save the world?";Completed;1999
38;21stCB, 21 Seiki Shounen;Urasawa Naoki;Urasawa Naoki;['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Seinen'];21st Century Boys;Sequel to Urasawa Naoki's masterpiece, 20th Century Boys.;Completed;2007
39;2LJK;Nekosuna Ippei;Nekosuna Ippei;['Comedy', 'Shoujoai', 'Slice of Life'];2LJK;"High school girl Azuki Ariune, who ran away from home, is trying to get into homeless life with a lot of momentum! ... But there are a lot of trials she don’t know yet. Her senior “Kadonashi“ with mysterious wisdom appears and leads her to a new life. DIY street life starts out of common sense!

";Ongoing;
40;Gozen 3-ji no Muhouchitai, 3 a.m. Dangerous Zone, 3am's Lawless Zone, Gozen 3 Ji no Muhouchitai;NEMU Youko;NEMU Youko;['Comedy', 'Josei', 'Romance', 'Slice of Life'];3 am Dangerous Zone;"From Stiletto Heels: 

Momoko, who dreams of becoming an illustrator, finds employment in an ultra fast-paced office that specializes in designing pachinko parlors!! With the office running a yakuza-like business and employing a designer who has a habit of suddenly stripping in the middle of the night, Momoko believes that the company employees are a bit... no, definitely eccentric!! She continues pulling all-nighters, unable even to return home... And in the midst of that cigarette smoke-filled office, where women's authority takes a step back, she asks herself, ""Why am I here?""";Completed;2008
41;Mi Tercer Novio;KOTOU Matsu;KOTOU Matsu;['Comedy', 'Romance', 'Shoujo'];3 Banme no Kareshi;Rio's breasts are the only things preventing her from having a wonderful love life. Her first boyfriend was embarrassed by her breasts and her second boyfriend thought she wanted to have sex with him. She wants someone to love her for her personality, and recently a handsome boy with glasses has come into her life: Nomita. Where is this headed?;Completed;2007
42;March Comes in Like a Lion, Lion of March, Sangatsu no Lion, Lion of March;;Umino, Chika (Story & Art);['Romance', 'Slice of Life'];3 Gatsu no Lion;The protagonist is Rei, a 17-year old sh?gi player. He lives by himself, not having a family, and does not go to school and has scarcely any friends. Among his acquaintances is a family, which consists of a young woman, Akari, and two young girls, Momo and Hinata, and who also keep a numerous number of cats. (Source: Wikipedia);Ongoing;2007
43;;MIZUKI Shigeru;MIZUKI Shigeru;['Horror', 'Supernatural'];3, Street of Mysteries;"3, Street of Mysteries explores the fantastical-poetic vein that has forged Mizuki's reputation in Japan. The stories contained in this series hold in common the obsessive ideas of immortality and of life after death. Skillfully blending a range of black humor, drama, and questions of morality, Mizuki shows once more his profound understanding of the human soul.
(paraphrased from Astiberri)";Ongoing;
44;3.3.7 Byooshi!!;;Kubo, Mitsurou (Story & Art);['Comedy', 'Shounen'];337 Byooshi;"y all the usual measures, he could be considered a pretty useless guy: a scholastic failure, an athletic disaster, and a chronic loser... But Fukuda Shinichi has one passion: cheering for others! The 18-year-old captain of North Kanto Southern High's Cheerleading squad decides to make the most of his summer by attending cram school in Tokyo, only to find out that the whole trip was a sham! Things are looking up when he and his friend meet up with two cute Tokyo girls; too bad the girls brought them to a rip-off bar and took off! Ditched by his one remaining friend and stuck with an impossibly high bar bill, Fuku-kun's life couldn't get any worse! But just then he gets saved by Ume, his role model and former cheerleading squad captain! What is he doing in Tokyo... and why does everyone around seem to know and respect him? Without anywhere else to go, Fuku-kun decides follow Ume to his job, only to discover that... he's a male gigolo?!? Fukuda's summer of cheering others on has begun... and the streets of Tokyo's red-light district will never be the same!";Ongoing;2001
45;34 Sai Mushoku-san, 34 Sai Mushokusan, 34-sai Mushokusan;IKEDA Takashi;IKEDA Takashi;['Seinen', 'Slice of Life'];34-sai Mushoku-san;"They say that the prime of one's career happens in their mid-thirties. During that time, women plan many things and tell themselves, “I won't let this year go by without doing anything!”

And then, a 34 year-old's life begins.

Hearing a new vacuum cleaner hum in the night shifts her moods as the Galactic Railroad runs in her mind...

Shall we take a look at an unemployed's slow, laid-back daily life?

[translated by Shoreijuu]";Ongoing;2011
46;341st RMR Battlegroup;Rei Hiroe;Rei Hiroe;['Adventure'];341st RMR Battlegroup;;Ongoing;
47;360 Material;MINAMI Touko;MINAMI Touko;['Romance', 'School Life', 'Shoujo', 'Slice of Life'];360 Degrees Material;"From Shinnen:
Taki is cool and is very smart, but likes to go at his own pace. Mio sees Taki at the subway station one day, but suddenly, Taki does something really strange....!?

From Wild*Hope:
Taki is the cool yet strange guy in Mio's class. She bumps into him at the subway station after school and saves him after he almost gets pushed onto the tracks. The next day, he returns the favor by saving her from an incoming car. This marks the start of Mio's love.";Ongoing;2010
48;37 do Kiss;;FUJIWARA Yoshiko (Story & Art);['Comedy', 'Romance', 'Shoujo'];37 Degrees Kiss;"I only meant to flirt with you as a light joke, but since I saw your tears that day, I was not able to forget about you. I thought I have been alive all this while, but now I can”t even say a single word to you. And then, one day…

Heart throbbing yet sweet love stories from Fujiwara Yoshiko sensei, including an extra story of “Kiss-zekkou-kiss” that hasn”t been published before.";Completed;2003
49;Real Girl;NANAMI Mao;NANAMI Mao;['Comedy', 'Romance', 'School Life', 'Shoujo', 'Slice of Life'];3D Kanojo;"From MangaHelpers:

Tsutsui Hikari is an otaku, and he mostly avoids social life. Hikari has only one friend at school, who is also a social misfit, and he is mocked brutally by most of his classmates for being creepy and weird. One day, he ends up having to clean the school pool with Igarashi Iroha, who appears to be pretty much everything he hates in real-life girls. She skips school, has a blunt manner, doesn't have female friends, and seems the sort to be promiscuous. However, she is friendly to Hikari, and even stands up to the people who make fun of him. Hikari's bitterness and trust issues lead him to say pretty harsh things to Iroha, but she never dismisses him as creepy. After a while, it starts to look like Iroha may become his first real-life, 3D girlfriend! Will he be able to handle it? [tethysdust]";Ongoing;2011
50;3Q love stories;Saar;Saar;['Comedy', 'Romance'];3Q love stories;;Ongoing;
51;Sazan Eyes;Yuzo Takada;Yuzo Takada;['Adventure', 'Fantasy', 'Horror'];3x3 Eyes;Yakumo Fujii was just like any other 16-year-old Japanese high school student. Well, his father did disappear in Tibet four years ago while searching for a legendary race of three-eyed beings, and Yakumo was forced to take a job as a waitress in a gay bar to support himself. But that was nothing compared to the strange girl Yakumo literally ran into one day on the way to work. She called herself Pai, and she carried a letter that Yakumo\'s father wrote just before he died. The note claimed that Pai was the last of the three-eyed race Prof. Fujii had spent his life searching for, a race with the power of eternal youth, the Sanjiyan Unkara.;Ongoing;1989 - 2002
52;;Goriragun;Goriragun;['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Shounen'];4 Cut Hero;;Ongoing;2014
53;;HanDol;HanDol;['Fantasy', 'Martial Arts', 'Shounen', 'Supernatural', 'Tragedy'];4 God Ranger;;Ongoing;
54;5Cats;AMATU Risa;AMATU Risa;['Fantasy', 'Shoujo'];5 Cats;In the space between the magical world and the human world, there is a cafe called 5 CATS, which is a meeting place for the residents of the magical world. After a series of events which lead to him helping out at the cafe, ordinary high school student Kei is inspired to become an apprentice magician himself.;Ongoing;2012
55;Byousoku 5 Centimeter;SEIKE Yukiko;SHINKAI Makoto;['Drama', 'Romance', 'Seinen'];5 Centimeters per Second;A tale of two people, Tono Takaki and Shinohara Akari, who were close friends but gradually grow farther and farther apart as time moves on. They become separated because of their families yet continue to exchange contact in the form of letters. Yet as time continues to trudge on, their contact with one another begins to cease. Years pass and the rift between them grows ever larger. However, Takaki remembers the times they have shared together, but as life continues to unfold for him, he wonders if he would be given the chance to meet Akari again as the tale embarks on Takaki's realization of the world and people around him.;Ongoing;2010
56;From Five to Nine, From Five to Nine (Aihara MIki);AIHARA Miki;AIHARA Miki;['Comedy', 'Josei', 'Romance', 'Slice of Life'];5-ji kara 9-ji made;"From Day of the River:
Sakuraba Junko is turning 27 years old soon, but even so, she is without a boyfriend. But who cares?! Junko has a stable job as an English teacher and she is fine with spending her upcoming birthday alone. Well, until she is set up with on an omiai with a Buddhist monk... which, of course, she rejects. But then he shows up at her school where he has enrolled in private lessons... what will become of our Junko-sensei?";Ongoing;2009
57;50 Million Km - Her and My Distance, Fifty Million Kilometers, Her and My Distance 50 Million Km;THOR;Park Jin Woo;['Action', 'Fantasy', 'Shounen', 'Sports'];50 Million Km;"Note: The title actually says 5000 Tens of Thousands, which equal 50 Million.

About the future, in a space station.";Ongoing;2011
58;Yakuza Wars;Ishikawa Ken;NAGAI Yasutaka;['Comedy', 'Drama', 'Ecchi', 'Mature', 'Sci-Fi', 'Shounen'];5001-nen Yakuza Wars;"
Anno Domini, The Final Days of The Year 5001. Join the Kanto Ijigen Family on their bodacious adventure going where no Yakuza has gone before... SPACE!";Ongoing;
59;6 Trigger, Roku no Trigger, Six no Trigger;TALI;TALI;['Action', 'Shounen'];6 no Trigger;;Ongoing;2012
60;My sister is six most powerful weapon on earth!;team_yahada;team_yahada;['Action', 'Comedy', 'Shounen'];6 Weapons;;Ongoing;
61;6000 - Rokusen, Rokusen;KOIKE Nokuto;KOIKE Nokuto;['Horror', 'Seinen'];6000;After a tragic accident at a large facility 6000 meters below water killed its workers, the facility was abandoned for three years. After the Japanese company owning it is taken over by a Chinese company, the facility will be opened again. Kadokura Kengo and his colleague Danzaki are sent along with the team reopening the underwater facility. However, right away, an 'accident' grievously injures Danzaki. Kengo is left alone with colleagues he doesn't trust in an eerie underwater environment that may have more to it than meets the eye... ;Ongoing;2010
62;O-Parts Hunter;Kishimoto Seishi;Kishimoto Seishi;['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen'];666 Satan;Ruby Crescent is an ordinary girl, who likes to go out with boys and shop. Her life is changed dramatically when her father dies and she becomes a treasure hunter as he was. Her objective is to find O-Parts -- magical items hidden under the ground which grant people superhuman powers and can only be used by an O.P.T. (O-Part Tactician) or descendant of the Angel and Devil. She soon meets a mysterious boy named Jio who, due to having a dark, lonely past, seeks to conquer the world. Jio is hostile to her at first, but ends up travelling with Ruby as her bodyguard. When Ruby is attacked by an O.P.T. claiming to be Satan, Jio rushes to her rescue and a battle occurs. Initially they are on the losing side, but Jio releases his true power and is revealed to be not only an O.P.T., but the real Satan. Thus, the two continue to travel together in hopes of unlocking their pasts.;Completed;2001 -  2007
63;7th Lesson Rhapsody, 7th Period Rhapsody, Light Right Rabbit;;TANAKA Meca (Story & Art);['Comedy', 'Romance', 'Shoujo'];7 Jikan-me Rhapsody;"Toudou Rinko is a serious and reliable class representative, now in 2nd year of high school. It happens that the first male person she starts to notice is her homeroom teacher, Saku Makoto. She ends up helping the nonchanlant and playful teacher with his “Love Guidance Room”.

Also includes Tanaka sensei’s earlier work “Light Right Rabbit.”";Completed;2006
